"filename", "language", "XML", "Lua", "Batch", "comment", "blank", "total"
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_autogun_braced.lua", "Lua", 0, 48, 0, 8, 5, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_autogun_headhunter.lua", "Lua", 0, 23, 0, 8, 5, 36
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_autogun_infantry.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_common.lua", "Lua", 0, 33, 0, 8, 5, 46
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_lasgun.lua", "Lua", 0, 58, 0, 12, 5, 75
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\stock_shotgun_double_barrel.lua", "Lua", 0, 28, 0, 8, 5, 41
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\attachments\trinket_hook.lua", "Lua", 0, 123, 0, 8, 5, 136
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\copy.cmd", "Batch", 0, 0, 1, 0, 0, 1
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\ewc_ba.lua", "Lua", 0, 1464, 0, 34, 26, 1524
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\ewc_ba_data.lua", "Lua", 0, 30, 0, 0, 2, 32
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\ewc_ba_localization.lua", "Lua", 0, 171, 0, 0, 6, 177
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\extensions\common.lua", "Lua", 0, 56, 0, 9, 4, 69
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\autogun_p1_m1.lua", "Lua", 0, 800, 0, 49, 21, 870
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\autogun_p2_m1.lua", "Lua", 0, 550, 0, 35, 21, 606
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\autogun_p3_m1.lua", "Lua", 0, 457, 0, 33, 20, 510
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\autopistol_p1_m1.lua", "Lua", 0, 378, 0, 36, 15, 429
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\bolter_p1_m1.lua", "Lua", 0, 553, 0, 72, 21, 646
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\boltpistol_p1_m1.lua", "Lua", 0, 339, 0, 30, 20, 389
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\chainaxe_p1_m1.lua", "Lua", 0, 492, 0, 60, 33, 585
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\combatknife_p1_m1.lua", "Lua", 0, 227, 0, 19, 10, 256
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\combatsword_p1_m1.lua", "Lua", 0, 759, 0, 32, 23, 814
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\combatsword_p2_m1.lua", "Lua", 0, 759, 0, 32, 23, 814
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\combatsword_p3_m1.lua", "Lua", 0, 756, 0, 32, 23, 811
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\flamer_p1_m1.lua", "Lua", 0, 48, 0, 68, 14, 130
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\forcesword_2h_p1_m1.lua", "Lua", 0, 435, 0, 27, 18, 480
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\forcesword_p1_m1.lua", "Lua", 0, 233, 0, 67, 17, 317
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\lasgun_p1_m1.lua", "Lua", 0, 145, 0, 11, 16, 172
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\lasgun_p2_m1.lua", "Lua", 0, 123, 0, 11, 17, 151
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\lasgun_p3_m1.lua", "Lua", 0, 179, 0, 11, 15, 205
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\laspistol_p1_m1.lua", "Lua", 0, 128, 0, 15, 17, 160
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\ogryn_gauntlet_p1_m1.lua", "Lua", 0, 39, 0, 11, 11, 61
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\ogryn_heavystubber_p1_m1.lua", "Lua", 0, 110, 0, 11, 14, 135
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\ogryn_heavystubber_p2_m1.lua", "Lua", 0, 111, 0, 12, 14, 137
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\ogryn_rippergun_p1_m1.lua", "Lua", 0, 23, 0, 11, 9, 43
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\ogryn_thumper_p1_m1.lua", "Lua", 0, 41, 0, 11, 11, 63
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\plasmagun_p1_m1.lua", "Lua", 0, 123, 0, 15, 14, 152
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\powermaul_shield_p1_m1.lua", "Lua", 0, 281, 0, 21, 17, 319
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\powersword_2h_p1_m1.lua", "Lua", 0, 438, 0, 27, 18, 483
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\powersword_p1_m1.lua", "Lua", 0, 313, 0, 19, 16, 348
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\powersword_p2_m1.lua", "Lua", 0, 231, 0, 19, 11, 261
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\shotgun_p1_m1.lua", "Lua", 0, 161, 0, 21, 15, 197
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\shotgun_p2_m1.lua", "Lua", 0, 72, 0, 17, 11, 100
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\shotgun_p4_m1.lua", "Lua", 0, 221, 0, 29, 18, 268
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\shotpistol_shield_p1_m1.lua", "Lua", 0, 556, 0, 19, 20, 595
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\stubrevolver_p1_m1.lua", "Lua", 0, 222, 0, 18, 20, 260
"i:\Darktide\darktide-mods\extended_weapon_customization_base_additions\scripts\mods\ewc_ba\weapons\thunderhammer_2h_p1_m1.lua", "Lua", 0, 351, 0, 54, 21, 426
"Total", "-", 23, 19243, 1, 2247, 1551, 23065
